Unnamed: 0;NOME_IES_BOLSA;COD_CURSO;NOME_CURSO_BOLSA;BOLSAS;TODA
5656;pontifícia universidade católica do rio grande do sul;88923;administração;56;48,7
5657;pontifícia universidade católica do rio grande do sul;18056;arquitetura e urbanismo;10;59,7
5658;pontifícia universidade católica do rio grande do sul;1904;ciência da computação;12;74,3
5659;pontifícia universidade católica do rio grande do sul;1923;ciências aeronáuticas;1;24,6
5660;pontifícia universidade católica do rio grande do sul;1905;ciências biológicas;8;92,9
5661;pontifícia universidade católica do rio grande do sul;301905;ciências biológicas;8;21,4
5662;pontifícia universidade católica do rio grande do sul;88932;ciências contábeis;17;48,5
5663;pontifícia universidade católica do rio grande do sul;1890;ciências econômicas;16;51,6
5664;pontifícia universidade católica do rio grande do sul;1888;direito;94;35,7
5665;pontifícia universidade católica do rio grande do sul;39514;educação física;34;66,7
5666;pontifícia universidade católica do rio grande do sul;89146;educação física;34;47,3
5667;pontifícia universidade católica do rio grande do sul;56702;engenharia de computação;7;72,7
5668;pontifícia universidade católica do rio grande do sul;1925;engenharia de controle e automação;10;67,9
5669;pontifícia universidade católica do rio grande do sul;116150;engenharia elétrica e eletrônica;13;100
5670;pontifícia universidade católica do rio grande do sul;1881;filosofia;2;93,1
5671;pontifícia universidade católica do rio grande do sul;301881;filosofia;2;48,5
5672;pontifícia universidade católica do rio grande do sul;1107916;gestão de turismo;19;53,8
5673;pontifícia universidade católica do rio grande do sul;102728;história;14;94,1
5674;pontifícia universidade católica do rio grande do sul;402728;história;14;43,8
5675;pontifícia universidade católica do rio grande do sul;1107917;hotelaria;20;56,7
5676;pontifícia universidade católica do rio grande do sul;27508;jornalismo;10;35,8
5677;pontifícia universidade católica do rio grande do sul;1879;medicina;4;3,8
5678;pontifícia universidade católica do rio grande do sul;56696;nutrição;1;25,4
5679;pontifícia universidade católica do rio grande do sul;1883;odontologia;5;22,1
5680;pontifícia universidade católica do rio grande do sul;1882;pedagogia;15;44,2
5681;pontifícia universidade católica do rio grande do sul;33287;pedagogia;15;25
5682;pontifícia universidade católica do rio grande do sul;97877;pedagogia;15;100
5683;pontifícia universidade católica do rio grande do sul;73235;produção audiovisual;1;27,8
5684;pontifícia universidade católica do rio grande do sul;1903;psicologia;9;38,7
5685;pontifícia universidade católica do rio grande do sul;33288;relações públicas;14;38,7
5686;pontifícia universidade católica do rio grande do sul;56766;sistemas de informação;8;60,7
5687;pontifícia universidade católica do rio grande do sul;1880;teologia;8;53,6
6247;universidade de caxias do sul;27497;administração;301;100
6248;universidade de caxias do sul;31041;administração;301;52,1
6249;universidade de caxias do sul;32252;administração;301;55,1
6250;universidade de caxias do sul;34655;administração;301;58,3
6251;universidade de caxias do sul;40435;administração;301;66,2
6252;universidade de caxias do sul;40604;administração;301;42,7
6253;universidade de caxias do sul;40943;administração;301;53,1
6254;universidade de caxias do sul;42313;administração;301;53,7
6255;universidade de caxias do sul;68237;administração;301;33,3
6256;universidade de caxias do sul;106738;administração;301;88,9
6257;universidade de caxias do sul;106739;administração;301;44,4
6258;universidade de caxias do sul;106740;administração;301;74,4
6259;universidade de caxias do sul;106741;administração;301;87,2
6260;universidade de caxias do sul;106744;administração;301;25,7
6261;universidade de caxias do sul;106747;administração;301;66,7
6262;universidade de caxias do sul;106748;administração;301;69,2
6263;universidade de caxias do sul;110670;administração;301;54,1
6264;universidade de caxias do sul;88562;agronomia;13;40,8
6265;universidade de caxias do sul;88564;agronomia;13;49,1
6266;universidade de caxias do sul;64929;análise e desenvolvimento de sistemas;11;72
6267;universidade de caxias do sul;1140;arquitetura e urbanismo;17;69,4
6268;universidade de caxias do sul;1127914;automação industrial;18;91,6
6269;universidade de caxias do sul;1110;ciência da computação;28;83,5
6270;universidade de caxias do sul;1109;ciências biológicas;50;66,7
6271;universidade de caxias do sul;89238;ciências biológicas;50;53,3
6272;universidade de caxias do sul;301109;ciências biológicas;50;66,3
6273;universidade de caxias do sul;1103;ciências contábeis;139;51,2
6274;universidade de caxias do sul;1121;ciências contábeis;139;44,4
6275;universidade de caxias do sul;18046;ciências contábeis;139;67,3
6276;universidade de caxias do sul;18047;ciências contábeis;139;54,3
6277;universidade de caxias do sul;68245;ciências contábeis;139;39,6
6278;universidade de caxias do sul;106914;ciências contábeis;139;48,6
6279;universidade de caxias do sul;1104;ciências econômicas;22;62
6280;universidade de caxias do sul;24299;comunicação social - publicidade e propaganda;10;61,3
6281;universidade de caxias do sul;106910;comércio internacional;30;53,1
6282;universidade de caxias do sul;106912;comércio internacional;30;49,4
6283;universidade de caxias do sul;1105331;design;17;61,5
6284;universidade de caxias do sul;1107981;design;17;56,3
6285;universidade de caxias do sul;121110;design de moda;6;40,6
6286;universidade de caxias do sul;1101;direito;234;49,8
6287;universidade de caxias do sul;1113;direito;234;42
6288;universidade de caxias do sul;1124;direito;234;58
6289;universidade de caxias do sul;18048;direito;234;50
6290;universidade de caxias do sul;42362;direito;234;58,3
6291;universidade de caxias do sul;68243;direito;234;59,4
6292;universidade de caxias do sul;98128;direito;234;53,1
6293;universidade de caxias do sul;122821;direito;234;41,3
6294;universidade de caxias do sul;66129;educação física;13;68,1
6295;universidade de caxias do sul;66131;educação física;13;68,3
6296;universidade de caxias do sul;75934;educação física;13;83,3
6297;universidade de caxias do sul;98130;educação física;13;55,6
6298;universidade de caxias do sul;1115914;eletrônica industrial;8;100
6299;universidade de caxias do sul;45693;enfermagem;44;65,2
6300;universidade de caxias do sul;1105777;enfermagem;44;24,4
6301;universidade de caxias do sul;1115908;enfermagem;44;72
6302;universidade de caxias do sul;40404;engenharia ambiental;21;83,7
6303;universidade de caxias do sul;1105330;engenharia civil;8;62,4
6304;universidade de caxias do sul;50304;engenharia de alimentos;24;88,7
6305;universidade de caxias do sul;98118;engenharia de controle e automação;15;80,2
6306;universidade de caxias do sul;57714;engenharia de materiais;13;86,7
6307;universidade de caxias do sul;40405;engenharia de produção;41;73,8
6308;universidade de caxias do sul;57446;engenharia de produção;41;84,5
6309;universidade de caxias do sul;1115910;engenharia eletrônica;3;96,2
6310;universidade de caxias do sul;57706;engenharia elétrica;16;81,9
6311;universidade de caxias do sul;22642;engenharia mecânica;30;72,3
6312;universidade de caxias do sul;89134;engenharia mecânica;30;58,6
6313;universidade de caxias do sul;26065;engenharia química;10;62,3
6314;universidade de caxias do sul;70604;farmácia;24;62
6315;universidade de caxias do sul;45735;filosofia;19;67,9
6316;universidade de caxias do sul;68172;filosofia;19;61,5
6317;universidade de caxias do sul;50302;fisioterapia;19;58,5
6318;universidade de caxias do sul;1116795;fotografia;8;77,4
6319;universidade de caxias do sul;1116798;gestão comercial;7;64,5
6320;universidade de caxias do sul;1120575;gestão comercial;7;79,6
6321;universidade de caxias do sul;1115906;gestão de recursos humanos;8;71,1
6322;universidade de caxias do sul;1133074;gestão de recursos humanos;8;77,6
6323;universidade de caxias do sul;1116797;gestão financeira;10;64,7
6324;universidade de caxias do sul;1120581;gestão financeira;10;73,2
6325;universidade de caxias do sul;1095;história;33;52,7
6326;universidade de caxias do sul;29730;letras - inglês;6;65,1
6327;universidade de caxias do sul;25674;letras - língua portuguesa;26;53,3
6328;universidade de caxias do sul;106759;letras - língua portuguesa;26;65,9
6329;universidade de caxias do sul;1117530;marketing;9;65,4
6330;universidade de caxias do sul;1133075;marketing;9;74,1
6331;universidade de caxias do sul;1112;matemática;14;73,3
6332;universidade de caxias do sul;1107;medicina;11;7,3
6333;universidade de caxias do sul;72777;nutrição;15;55,8
6334;universidade de caxias do sul;24396;pedagogia;52;40
6335;universidade de caxias do sul;71413;pedagogia;52;0
6336;universidade de caxias do sul;98307;pedagogia;52;42,4
6337;universidade de caxias do sul;98308;pedagogia;52;53,2
6338;universidade de caxias do sul;98309;pedagogia;52;66,7
6339;universidade de caxias do sul;1115907;processos gerenciais;2;63,2
6340;universidade de caxias do sul;1120574;processos gerenciais;2;80,5
6341;universidade de caxias do sul;1120582;processos gerenciais;2;70
6342;universidade de caxias do sul;29733;psicologia;21;60,6
6343;universidade de caxias do sul;1105571;secretariado;2;53,8
6344;universidade de caxias do sul;1098;serviço social;17;57,9
6345;universidade de caxias do sul;50298;sistemas de informação;34;60,9
6346;universidade de caxias do sul;57504;sistemas de informação;34;67,4
6347;universidade de caxias do sul;64877;sistemas de informação;34;84,5
6348;universidade de caxias do sul;1115909;sociologia;10;81,8
6349;universidade de caxias do sul;75926;tecnologias digitais;7;93,8
6350;universidade de caxias do sul;1130;turismo;18;40
6351;universidade de caxias do sul;42118;turismo;18;69,8
6563;universidade de passo fundo;1729;administração;236;60,2
6564;universidade de passo fundo;1752;administração;236;60,6
6565;universidade de passo fundo;1767;administração;236;75
6566;universidade de passo fundo;1770;administração;236;68,5
6567;universidade de passo fundo;1773;administração;236;75,6
6568;universidade de passo fundo;1774;administração;236;64,6
6569;universidade de passo fundo;73086;administração;236;50,7
6570;universidade de passo fundo;1728;agronomia;33;59,7
6571;universidade de passo fundo;98361;análise e desenvolvimento de sistemas;36;71
6572;universidade de passo fundo;98373;análise e desenvolvimento de sistemas;36;73,3
6573;universidade de passo fundo;1786;arquitetura e urbanismo;29;38,8
6574;universidade de passo fundo;88502;artes visuais;7;33,3
6575;universidade de passo fundo;1721;ciência da computação;37;65,4
6576;universidade de passo fundo;1133236;ciência da computação;37;100
6577;universidade de passo fundo;66005;ciências biológicas;15;54,5
6578;universidade de passo fundo;66008;ciências biológicas;15;51,1
6579;universidade de passo fundo;1734;ciências contábeis;164;49,5
6580;universidade de passo fundo;1753;ciências contábeis;164;44,8
6581;universidade de passo fundo;1757;ciências contábeis;164;50
6582;universidade de passo fundo;1762;ciências contábeis;164;56
6583;universidade de passo fundo;1772;ciências contábeis;164;63,6
6584;universidade de passo fundo;1029381;ciências contábeis;164;51,1
6585;universidade de passo fundo;1735;ciências econômicas;21;22,2
6586;universidade de passo fundo;115484;design de moda;14;32,5
6587;universidade de passo fundo;111744;design gráfico;6;66,7
6588;universidade de passo fundo;1736;direito;180;61,4
6589;universidade de passo fundo;18475;direito;180;61,2
6590;universidade de passo fundo;18477;direito;180;54,3
6591;universidade de passo fundo;18478;direito;180;38,9
6592;universidade de passo fundo;18480;direito;180;88,2
6593;universidade de passo fundo;18481;direito;180;34,8
6594;universidade de passo fundo;86476;direito;180;60
6595;universidade de passo fundo;1724;educação física;45;58,6
6596;universidade de passo fundo;98359;educação física;45;62,5
6597;universidade de passo fundo;1727;enfermagem;18;31,9
6598;universidade de passo fundo;1748;engenharia civil;11;50,6
6599;universidade de passo fundo;1133198;engenharia civil;11;38
6600;universidade de passo fundo;20948;engenharia de alimentos;1;66
6601;universidade de passo fundo;1109501;engenharia elétrica;10;64,9
6602;universidade de passo fundo;1718;engenharia mecânica;23;60,6
6603;universidade de passo fundo;115482;estética e cosmética;46;39,2
6604;universidade de passo fundo;111740;fabricação mecânica;14;77,3
6605;universidade de passo fundo;18483;farmácia;15;40,5
6606;universidade de passo fundo;24767;farmácia;15;93,8
6607;universidade de passo fundo;20949;fisioterapia;2;44,3
6608;universidade de passo fundo;64832;fonoaudiologia;15;22,6
6609;universidade de passo fundo;73302;física;19;50
6610;universidade de passo fundo;1716;geografia;1;25
6611;universidade de passo fundo;1107869;gestão comercial;20;31,7
6612;universidade de passo fundo;115500;gestão de recursos humanos;5;54,2
6613;universidade de passo fundo;1740;história;16;68,4
6614;universidade de passo fundo;29604;jornalismo;31;52,4
6615;universidade de passo fundo;88496;letras - português e espanhol;20;67,9
6616;universidade de passo fundo;102946;letras - português e espanhol;20;60,5
6617;universidade de passo fundo;115512;logística;19;60,6
6618;universidade de passo fundo;1717;matemática;27;80,6
6619;universidade de passo fundo;1725;medicina;6;27,1
6620;universidade de passo fundo;18484;medicina veterinária;3;36,5
6621;universidade de passo fundo;1750;música;6;76,9
6622;universidade de passo fundo;64836;nutrição;20;53,6
6623;universidade de passo fundo;1726;odontologia;7;33,8
6624;universidade de passo fundo;1741;pedagogia;71;40,6
6625;universidade de passo fundo;1758;pedagogia;71;41,2
6626;universidade de passo fundo;1769;pedagogia;71;12,5
6627;universidade de passo fundo;1780;pedagogia;71;36,8
6628;universidade de passo fundo;1782;pedagogia;71;33,3
6629;universidade de passo fundo;102930;pedagogia;71;50
6630;universidade de passo fundo;47663;psicologia;31;49,6
6631;universidade de passo fundo;57548;química;38;57,5
6632;universidade de passo fundo;65996;química;38;83,3
6633;universidade de passo fundo;18482;secretariado executivo;29;63
6634;universidade de passo fundo;73298;serviço social;25;52
6635;universidade de passo fundo;111736;sistemas para internet;7;82,1
7907;universidade luterana do brasil;8490;administração;125;85,9
7908;universidade luterana do brasil;9273;administração;125;87,7
7909;universidade luterana do brasil;9298;administração;125;91,6
7910;universidade luterana do brasil;9300;administração;125;89
7911;universidade luterana do brasil;9313;administração;125;91,7
7912;universidade luterana do brasil;52829;administração;125;84,4
7913;universidade luterana do brasil;52908;administração;125;90,9
7914;universidade luterana do brasil;54820;administração;125;96,2
7915;universidade luterana do brasil;106034;administração;125;92,3
7916;universidade luterana do brasil;115770;agronegócio;5;61,9
7917;universidade luterana do brasil;94183;agronomia;2;95,3
7918;universidade luterana do brasil;68029;análise e desenvolvimento de sistemas;2;87,1
7919;universidade luterana do brasil;112322;análise e desenvolvimento de sistemas;2;81,2
7920;universidade luterana do brasil;66503;artes visuais;5;79,6
7921;universidade luterana do brasil;65549;automação industrial;3;91,2
7922;universidade luterana do brasil;65092;biomedicina;1;68,2
7923;universidade luterana do brasil;72846;biomedicina;1;85,7
7924;universidade luterana do brasil;75366;biomedicina;1;59,3
7925;universidade luterana do brasil;33566;ciências biológicas;17;84,6
7926;universidade luterana do brasil;60508;ciências biológicas;17;87,7
7927;universidade luterana do brasil;66506;ciências biológicas;17;80,6
7928;universidade luterana do brasil;67273;ciências biológicas;17;82,7
7929;universidade luterana do brasil;366506;ciências biológicas;17;77,7
7930;universidade luterana do brasil;9274;ciências contábeis;4;90,6
7931;universidade luterana do brasil;119656;ciências contábeis;4;62,5
7932;universidade luterana do brasil;9322;ciências políticas;2;96,2
7933;universidade luterana do brasil;26396;comunicação social - publicidade e propaganda;1;92,6
7934;universidade luterana do brasil;23575;comunicação social - relações públicas;4;83,3
7935;universidade luterana do brasil;65543;comércio exterior;2;93,4
7936;universidade luterana do brasil;99745;dança;4;60
7937;universidade luterana do brasil;108446;dança;4;90,3
7938;universidade luterana do brasil;69206;design de interiores;1;81,6
7939;universidade luterana do brasil;112316;design de moda;2;66,7
7940;universidade luterana do brasil;115768;design de moda;2;85,7
7941;universidade luterana do brasil;100068;design gráfico;3;92,1
7942;universidade luterana do brasil;9292;direito;4;86,4
7943;universidade luterana do brasil;9310;direito;4;85,1
7944;universidade luterana do brasil;9314;direito;4;90,5
7945;universidade luterana do brasil;52863;direito;4;83,5
7946;universidade luterana do brasil;52929;direito;4;88,7
7947;universidade luterana do brasil;53037;direito;4;83,1
7948;universidade luterana do brasil;53045;direito;4;83,2
7949;universidade luterana do brasil;59538;direito;4;89,1
7950;universidade luterana do brasil;8483;educação física;46;92,2
7951;universidade luterana do brasil;45762;educação física;46;88,1
7952;universidade luterana do brasil;45763;educação física;46;91,5
7953;universidade luterana do brasil;52865;educação física;46;96,2
7954;universidade luterana do brasil;60470;educação física;46;91,4
7955;universidade luterana do brasil;72863;educação física;46;88,5
7956;universidade luterana do brasil;75332;educação física;46;89,9
7957;universidade luterana do brasil;75334;educação física;46;89,9
7958;universidade luterana do brasil;75338;educação física;46;83,6
7959;universidade luterana do brasil;113268;educação física;46;83,2
7960;universidade luterana do brasil;113270;educação física;46;87
7961;universidade luterana do brasil;9278;enfermagem;7;80,3
7962;universidade luterana do brasil;52667;enfermagem;7;70,8
7963;universidade luterana do brasil;71333;enfermagem;7;84,6
7964;universidade luterana do brasil;75336;enfermagem;7;82,3
7965;universidade luterana do brasil;123692;enfermagem;7;63,6
7966;universidade luterana do brasil;9287;engenharia civil;2;79,8
7967;universidade luterana do brasil;115774;engenharia de produção;10;87,5
7968;universidade luterana do brasil;119904;engenharia de produção;10;75,4
7969;universidade luterana do brasil;60280;engenharia mecânica automotiva;1;91
7970;universidade luterana do brasil;70867;estética e cosmética;5;86,2
7971;universidade luterana do brasil;100049;estética e cosmética;5;82,7
7972;universidade luterana do brasil;105874;estética e cosmética;5;81,9
7973;universidade luterana do brasil;9309;fisioterapia;13;86,5
7974;universidade luterana do brasil;75341;fisioterapia;13;63,9
7975;universidade luterana do brasil;97471;fisioterapia;13;77,6
7976;universidade luterana do brasil;104154;fisioterapia;13;84,3
7977;universidade luterana do brasil;65571;fotografia;1;83,6
7978;universidade luterana do brasil;59566;física;3;95
7979;universidade luterana do brasil;9293;geografia;1;80,2
7980;universidade luterana do brasil;123643;geografia;1;70,6
7981;universidade luterana do brasil;102926;gestão ambiental;1;90,4
7982;universidade luterana do brasil;106074;gestão ambiental;1;76,6
7983;universidade luterana do brasil;65577;gestão comercial;3;94,7
7984;universidade luterana do brasil;119908;gestão da produção industrial;5;78,4
7985;universidade luterana do brasil;65573;gestão de recursos humanos;2;90,8
7986;universidade luterana do brasil;100046;gestão de recursos humanos;2;77,3
7987;universidade luterana do brasil;122186;gestão de recursos humanos;2;75,2
7988;universidade luterana do brasil;65501;gestão de segurança privada;3;92,6
7989;universidade luterana do brasil;65547;gestão financeira;23;96,1
7990;universidade luterana do brasil;99490;gestão financeira;23;77,9
7991;universidade luterana do brasil;120661;gestão pública;1;84
7992;universidade luterana do brasil;9289;história;10;81,1
7993;universidade luterana do brasil;60476;história;10;92
7994;universidade luterana do brasil;75327;história;10;90,8
7995;universidade luterana do brasil;105880;história;10;100
7996;universidade luterana do brasil;112320;história;10;77,9
7997;universidade luterana do brasil;123633;história;10;83,3
7998;universidade luterana do brasil;32941;letras - português;10;86
7999;universidade luterana do brasil;53074;letras - português;10;85,7
8000;universidade luterana do brasil;53188;letras - português;10;89,1
8001;universidade luterana do brasil;60479;letras - português;10;77,5
8002;universidade luterana do brasil;84013;letras - português;10;82,9
8003;universidade luterana do brasil;106038;letras - português;10;56,7
8004;universidade luterana do brasil;69202;marketing;5;92,1
8005;universidade luterana do brasil;27598;matemática;5;77,8
8006;universidade luterana do brasil;60509;matemática;5;93,1
8007;universidade luterana do brasil;65784;matemática;5;93,1
8008;universidade luterana do brasil;66505;matemática;5;83,9
8009;universidade luterana do brasil;75331;matemática;5;82,6
8010;universidade luterana do brasil;112312;matemática;5;64,6
8011;universidade luterana do brasil;9326;medicina;6;53,3
8012;universidade luterana do brasil;96899;negócios imobiliários;9;88,3
8013;universidade luterana do brasil;100037;negócios imobiliários;9;100
8014;universidade luterana do brasil;9290;odontologia;1;57,7
8015;universidade luterana do brasil;19344;odontologia;1;61,4
8016;universidade luterana do brasil;19350;odontologia;1;64,1
8017;universidade luterana do brasil;8488;pedagogia;545;67,5
8018;universidade luterana do brasil;9285;pedagogia;545;96,4
8019;universidade luterana do brasil;9297;pedagogia;545;89,2
8020;universidade luterana do brasil;9315;pedagogia;545;69,2
8021;universidade luterana do brasil;19346;pedagogia;545;96
8022;universidade luterana do brasil;23573;pedagogia;545;86,7
8023;universidade luterana do brasil;26393;pedagogia;545;52,6
8024;universidade luterana do brasil;26394;pedagogia;545;54
8025;universidade luterana do brasil;31745;pedagogia;545;45,8
8026;universidade luterana do brasil;45788;pedagogia;545;53,1
8027;universidade luterana do brasil;52861;pedagogia;545;95
8028;universidade luterana do brasil;52868;pedagogia;545;64,6
8029;universidade luterana do brasil;52933;pedagogia;545;92,2
8030;universidade luterana do brasil;53047;pedagogia;545;100
8031;universidade luterana do brasil;59284;pedagogia;545;100
8032;universidade luterana do brasil;59286;pedagogia;545;21
8033;universidade luterana do brasil;59527;pedagogia;545;100
8034;universidade luterana do brasil;71272;pedagogia;545;100
8035;universidade luterana do brasil;97851;pedagogia;545;67,2
8036;universidade luterana do brasil;113542;processos gerenciais;2;78,5
8037;universidade luterana do brasil;101576;produção audiovisual;1;85,1
8038;universidade luterana do brasil;26391;psicologia;4;95,1
8039;universidade luterana do brasil;38798;psicologia;4;71,1
8040;universidade luterana do brasil;39034;psicologia;4;85,2
8041;universidade luterana do brasil;39204;psicologia;4;87,5
8042;universidade luterana do brasil;39351;psicologia;4;84,5
8043;universidade luterana do brasil;39376;psicologia;4;86,8
8044;universidade luterana do brasil;59423;psicologia;4;72,5
8045;universidade luterana do brasil;59425;psicologia;4;100
8046;universidade luterana do brasil;66507;química;7;88,7
8047;universidade luterana do brasil;66518;radiologia;2;90,2
8048;universidade luterana do brasil;65565;redes de computadores;2;91,9
8049;universidade luterana do brasil;9276;serviço social;13;93,9
8050;universidade luterana do brasil;38801;serviço social;13;96,7
8051;universidade luterana do brasil;52825;serviço social;13;78,9
8052;universidade luterana do brasil;72859;serviço social;13;94,2
8053;universidade luterana do brasil;117054;serviço social;13;94,6
8054;universidade luterana do brasil;20971;sistemas de informação;5;100
8055;universidade luterana do brasil;20972;sistemas de informação;5;91
8056;universidade luterana do brasil;22110;sistemas de informação;5;77,5
8057;universidade luterana do brasil;40555;sistemas de informação;5;85,6
8058;universidade luterana do brasil;52809;sistemas de informação;5;91,4
8059;universidade luterana do brasil;54818;sistemas de informação;5;89,2
8060;universidade luterana do brasil;59523;sistemas de informação;5;87,8
8061;universidade luterana do brasil;9318;teologia;5;57,7
8062;universidade luterana do brasil;123528;teologia;5;94,6
